#{"t_start": 1641419706.7975063, "env_id": null}
r,l,t
-0.06,39,12243.51235
-0.51,134,12281.273184
-20.17,74,12307.202778
-0.115,21,12315.617401
-20.075,16,12324.260688
-0.21,54,12343.565538
-0.03,2,12347.474044
-0.145,38,12360.629821
-20.26,250,12434.255623
-0.06,24,12443.411361
-20.025,36,12456.854041
-0.19,96,12485.33745
-20.005,3,12489.54697
-0.025,5,12493.886934
-20.315,152,12538.163274
-20.665,242,12610.25832
-20.615,302,12690.936251
-0.68,302,12773.01722
-0.345,93,12800.546036
-0.175,55,12817.350439
-20.025,6,12822.558102
-20.095,49,12839.645558
-19.98,3,12843.899432
-0.15,30,12854.761086
-0.335,104,12884.3999
-20.02,44,12900.313426
-20.015,22,12909.761617
-20.075,21,12919.301049
-19.94,27,12930.647807
-0.065,21,12939.309813
-0.03,2,12942.927056
-0.15,35,12955.042365
-0.06,4,12959.147435
-19.995,4,12963.684161
-0.09,6,12968.366581
-0.065,16,12975.417462
-0.025,10,12980.994981
-20.015,62,12999.898718
-0.115,16,13007.230736
-20.045,19,13015.347172
-20.18,48,13031.917543
-0.075,10,13037.817315
-20.01,5,13042.691999
-20.04,27,13053.048065
-0.125,35,13065.28923
-0.11,24,13074.53232
-0.505,302,13155.711311
-0.15,15,13162.746793
-0.035,14,13169.753536
-19.975,6,13174.912139
-20.14,77,13199.423131
-19.985,45,13214.365609
-20.115,102,13244.888917
-0.31,34,13257.747667
-0.27,128,13294.41736
-0.05,30,13305.245007
-19.93,28,13316.462283
0.2,80,13341.145442
-20.035,20,13350.080763
-0.05,20,13358.45449
-0.06,4,13362.739741
-0.12,53,13380.397772
0.26,91,13407.850471
-19.86,25,13417.787002
-20.205,153,13462.626914
-20.515,222,13525.361095
0.035,21,13534.028979
-0.045,8,13539.371539
-0.085,29,13550.42012
-19.965,12,13557.684862
0.035,26,13567.604997
-19.905,13,13574.571112
-0.025,10,13580.242563
-20.0,6,13585.319679
0.1,30,13596.990636
-0.05,10,13602.888207
-0.04,41,13617.899864
-0.05,10,13623.754501
-19.685,65,13646.057616
-19.985,20,13655.4205
-19.99,87,13682.78891
-19.985,10,13688.85023
-19.96,5,13693.571488
-19.94,17,13702.127216
-20.34,177,13752.854983
-0.115,21,13761.82741
-20.11,130,13802.703072
-19.955,13,13809.819261
-19.965,7,13815.121342
-20.02,9,13821.163649
-19.955,8,13826.710233
-19.965,7,13832.364028
0.01,36,13845.755471
-19.865,62,13866.025459
-0.28,42,13880.138824
-19.995,4,13884.538215
-20.005,23,13894.870889
-20.61,285,13974.331514
-19.925,21,13983.599607
-0.015,26,13993.366529
0.03,18,14001.085342
-19.88,23,14011.105665
-19.97,14,14018.502381
-19.89,27,14029.117219
0.03,33,14041.255195
-19.985,5,14046.193035
-0.085,39,14061.058434
0.0,15,14068.169402
-0.03,47,14083.762547
-19.71,65,14104.673676
-19.99,12,14111.076582
0.09,84,14136.327837
-20.1,111,14171.939001
-19.91,10,14178.003614
-0.205,302,14260.944487
-20.05,46,14278.72556
0.035,36,14291.996449
-19.8,36,14304.988635
-19.915,22,14314.037382
-20.01,35,14327.141605
0.1,35,14339.797997
-0.43,302,14423.173171
0.04,69,14445.160506
-0.33,302,14529.427422
-20.0,6,14534.182123
-19.815,67,14555.520048
-0.08,47,14571.631151
-20.185,75,14597.116192
-0.085,9,14602.766608
-19.845,24,14612.863026
-0.08,7,14617.727621
-0.07,43,14632.288545
0.045,22,14641.318157
-0.02,8,14646.495374
0.47,142,14688.432957
-19.99,27,14699.256393
-19.96,20,14707.837761
0.36,66,14728.396812
0.025,20,14736.692719
-19.865,17,14744.948929
-19.87,24,14754.646838
-0.145,83,14779.659801
-20.03,193,14841.108438
-20.035,55,14860.740675
0.06,26,14871.185007
-19.955,38,14885.231419
-20.0,11,14891.753881
-19.72,74,14916.474188
-0.01,59,14936.099053
-0.305,302,15019.589048
-0.51,209,15078.893125
-0.18,302,15162.96805
-0.205,27,15173.383263
0.005,18,15181.166042
-0.12,28,15191.949694
-0.095,88,15219.286865
-0.43,302,15305.19535
-20.02,39,15318.732467
-20.02,14,15326.140515
0.14,29,15337.68995
-20.06,5,15342.421161
-20.085,35,15356.084719
-0.43,207,15419.737678
-20.4,231,15491.592518
-0.05,5,15495.960524
-20.06,35,15509.89493
-20.075,131,15552.324035
-0.045,3,15556.404117
-19.99,192,15610.674404
-0.255,197,15668.411158
-19.855,128,15705.850573
-0.135,14,15712.869326
-19.855,58,15732.391952
-0.21,74,15755.001247
-19.89,92,15785.061716
-20.24,57,15805.094202
-0.075,5,15809.962884
-20.01,35,15822.783937
-20.0,91,15853.050324
-0.23,302,15942.792263
-0.015,6,15947.77792
-19.89,112,15983.309664
-0.48,302,16073.226565
-20.04,157,16122.962354
-19.705,58,16143.144175
0.04,29,16155.039002
-0.28,302,16250.872827
-0.135,74,16275.217039
0.06,36,16288.096117
-19.95,21,16297.447354
0.06,81,16325.090195
-19.935,20,16333.615821
-0.045,13,16340.276891
-20.01,10,16346.350383
-20.05,51,16364.692424
-0.305,302,16450.341784
0.215,209,16511.823016
-20.18,93,16541.536806
-19.785,85,16568.827769
-19.935,145,16614.458663
-0.135,24,16623.958685
-19.67,74,16647.411648
-20.165,72,16673.473552
-0.04,56,16691.360156
-20.275,271,16774.573527
0.455,113,16808.620697
-19.93,118,16845.498522
-0.295,293,16934.098617
-19.795,44,16948.916264
0.195,92,16977.299166
-20.08,33,16989.881752
-20.175,76,17015.810177
17.4,248,17086.055798
-0.01,204,17145.769996
0.04,34,17158.524282
0.055,28,17169.394596
-20.045,89,17197.512496
-19.84,17,17205.422441
-20.0,6,17210.404629
0.055,38,17224.197331
-0.18,302,17313.509328
-19.935,75,17337.753448
-0.165,26,17348.008404
-0.31,114,17383.922665
-19.675,71,17406.584044
-19.76,55,17425.268174
-19.99,7,17430.32483
-0.085,69,17452.045367
19.65,76,17475.730515
-20.005,3,17479.76678
18.875,163,17527.83677
-20.175,111,17564.260723
-0.3,155,17610.615037
-0.14,56,17629.245432
18.575,180,17680.990505
-20.035,125,17721.155704
-0.015,51,17739.417783
0.015,9,17744.8991
-0.13,117,17780.952496
-19.95,31,17792.748048
0.08,23,17801.741775
-19.975,46,17818.507197
0.025,10,17824.311618
0.235,176,17877.938106
-19.775,56,17896.257933
-19.845,94,17925.166535
-20.02,4,17929.657939
19.2,130,17970.050679
19.575,70,17992.194155
-20.02,119,18029.312351
19.65,81,18054.936775
-0.19,131,18094.893917
-20.185,215,18162.712022
-0.015,1,18166.157564
-0.115,76,18189.474607
0.095,37,18202.454976
-0.005,42,18217.482557
-0.505,302,18301.136
0.08,18,18309.060777
-19.78,118,18346.642675
-19.815,77,18371.869396
-0.415,231,18437.294616
19.6,99,18466.97388
-0.07,28,18477.238895
-0.345,133,18515.137655
-19.8,41,18529.513621
19.625,73,18552.327618
-19.875,71,18575.932898
-19.995,74,18601.381307
-0.43,302,18689.148765
-0.015,6,18693.716252
-20.005,68,18717.61244
0.175,80,18742.435932
0.385,161,18791.082134
-19.78,38,18804.21772
-19.965,92,18834.880461
-19.885,85,18862.167628
-19.915,22,18871.535902
19.825,54,18889.877073
18.85,157,18935.134508
-0.53,302,19027.107536
18.075,185,19079.713313
-19.795,109,19114.856867
-0.33,302,19198.794674
-19.995,9,19204.803751
-0.255,302,19298.857188
-19.99,7,19304.034527
0.095,22,19313.742185
-0.405,302,19399.331505
-19.965,52,19416.425658
-0.245,108,19449.973866
-19.945,69,19473.717455
0.105,18,19481.760674
-19.715,32,19494.085492
-20.115,127,19535.97896
-19.83,48,19552.734695
18.325,189,19609.603924
-19.825,31,19621.281734
19.85,75,19644.779649
19.8,50,19661.755174
-20.005,8,19667.643048
-20.275,196,19730.861917
0.185,36,19743.726826
0.245,122,19779.816612
-0.025,55,19799.294032
-0.075,200,19857.229042
